"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Abel Selaocoe";"Selaocoe: Ka Bohaleng / On the Sharp Side";"3nPY6aMgoTX6I7DG4gTbkr";"240";"2022";"38";"2024-03-10"
"yeemz";"wondering why";"1vt0HYbapiWOipWuzbYg3U";"126";"2023";"47";"2024-03-10"
"Crosby, Stills & Nash";"Just a Song Before I Go";"4dAN7KcWCWx5jV6dpwtfvN";"134";"1977";"56";"2024-03-10"
"Jon Batiste";"Butterfly";"2aMFP9x0ZIkOVd0ZSl3zDI";"230";"2023";"58";"2024-03-10"
"Ethan Hawke";"We Don't Run - We Don't Run";"0GrjCTn1mcBP8as4atYzAH";"220";"2023";"34";"2024-03-10"
"Susan Christie";"Rainy Day";"5EcJVGwKFhAu7bER8xsPFS";"190";"1969";"33";"2024-03-10"
"Sufjan Stevens";"Everything That Rises";"7fai4Q1FhzPPMLnooY7RM8";"300";"2023";"52";"2024-03-10"
"Joanna Sternberg";"I've Got Me";"4IUPYB1d0CDKWKNYQtl6g3";"136";"2023";"40";"2024-03-10"
"Roger Waters";"Money";"1nc6OIRzt3ZOlIaAs4L0PC";"453";"2023";"37";"2024-03-10"
"C Duncan";"Just Like Clockwork";"6jHmDS0D9U4ttr2T6CYQ12";"214";"2023";"27";"2024-03-10"
"Lloyd Cole";"The Idiot";"3Xzf1yipYVQ7yeUNP0ScJA";"257";"2023";"26";"2024-03-10"
"Drugdealer";"Pictures of You";"2cAZ6Pxbq34h5rgUr7hZKC";"189";"2022";"62";"2024-03-10"
"Phoenix Moon";"Harvest Moon";"2dyDLUO3E6QHlQ44zsvppz";"301";"2019";"40";"2024-03-10"
"Lana Del Rey";"The Grants";"3KbOflJ5JqHWtmco4PiO3h";"295";"2023";"66";"2024-03-10"
"ØXN";"The Trees They Do Grow High";"2h0Zp9QzFMDUy2vUHvzZvK";"467";"2023";"35";"2024-03-10"
"Bell X1";"Haint Blue";"3zfTYkTfGLerZOPjOhLl2J";"305";"2023";"27";"2024-03-10"
"The West Coast Pop Art Experimental Band";"Eighteen Is over the Hill";"2hHI4KanprSsWQz6DBbwZz";"163";"1968";"39";"2024-03-10"
"The Beatles";"Martha My Dear - Remastered 2009";"1swmf4hFMJYRNA8Rq9PVaW";"149";"1968";"55";"2024-03-10"
"Little Moon";"wonder eye";"1kQ1cJUgTLbdo3E7AKnCSW";"245";"2023";"36";"2024-03-10"
"Mason Williams";"Classical Gas";"4DK3JpX2NkEMhCnltUEvUg";"185";"1968";"54";"2024-03-10"
"Mitski";"Heaven";"5T00EN4oZmDQx3hqVAC4Fx";"224";"2023";"68";"2024-03-10"
"Slowdive";"kisses";"7LuPjGUfJqxuW14W4gMrU2";"237";"2023";"62";"2024-03-10"
"Madison Cunningham";"All I’ve Ever Known";"3asrVoL2yOlr6LSAamJ94L";"307";"2022";"37";"2024-03-10"
"Glen Hansard";"Sure As The Rain";"4mH59NI9uMsQaL5QUbkz8a";"351";"2023";"32";"2024-03-10"
"Crosby";"Only Love Can Break Your Heart";"6BBefPWcr7qahdAIfULtvf";"206";"2022";"32";"2024-03-10"
"Harp";"Herstmonceux";"21HHU0DA5qyR3f1osH81DV";"245";"2023";"29";"2024-03-10"
"Jeremy Dutcher";"Ancestors Too Young";"2HYzOVoNQFr3EaTamlAuF2";"328";"2023";"28";"2024-03-10"
"Andrew Bird";"Mancey";"0ruUy4l849hh85BBvn34Y8";"296";"2023";"37";"2024-03-10"
"America";"Ventura Highway";"4IU1RL4BKvFyXtbTwaHAvW";"212";"1972";"74";"2024-03-10"
"Graham Nash";"Our House - Demo";"0vItJLwvxJzu5PPw6o62A6";"163";"1970";"51";"2024-03-10"
