"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"The Bygones";"How Do You Waste a Day?";"5BAioF9fgs403r03G1V3RP";"178";"2024";"27";"2024-05-26"
"Vampire Weekend";"Connect";"3Oko2TgOzXPLlE2dbbsNKV";"310";"2024";"62";"2024-05-26"
"Orville Peck";"Cowboys Are Frequently Secretly Fond Of Each Other";"5rKTGQ2Q1wndZnX7km8WYu";"219";"2024";"56";"2024-05-26"
"Louis Cato";"Unsightly Room";"3fONC2Ec1cSjkh252jSn7V";"226";"2023";"29";"2024-05-26"
"Hohnen Ford";"Don't Fall Asleep";"1aWrScpsBG9sDOnHIxK5N0";"169";"2022";"30";"2024-05-26"
"Carsie Blanton";"After the Revolution";"59HOiHHmQVbYftnv7G4OJl";"256";"2024";"26";"2024-05-26"
"The Halfway Kid";"Is That All There is?";"2Ijo1V30cwHI9axfG2uUca";"199";"2023";"37";"2024-05-26"
"Kat Frankie";"Joan Didion";"5IGbDS2xEIOb20xa6p3tzF";"169";"2023";"33";"2024-05-26"
"Rufous Nightjar";"Red Robin";"5dUFG0V7njzQIDJ1ED7KOy";"180";"2024";"35";"2024-05-26"
"Picture Parlour";"Norwegian Wood";"50Wusuhe7GBuOr5xGZlyGe";"214";"2023";"38";"2024-05-26"
"Vulfmon";"Letting Things Go";"5ua2M4ijwRgQy9xQKsGXzG";"152";"2024";"49";"2024-05-26"
"Olivia Dean";"Dive";"36vmaZyO0iAE6FZ7287fg2";"201";"2023";"71";"2024-05-26"
"Julian Lage";"Omission";"4BNDJ8JLYVc5nkoaIeogna";"207";"2024";"38";"2024-05-26"
"Patrick Watson";"Perfect Day - Piano Komorebi Version";"6jSMELQEPoqPSvGmjjvuLG";"289";"2024";"45";"2024-05-26"
"Judee Sill";"The Lost Page (From Judee's Journal)";"163iOJGBGBWY7LRQNCfGnx";"101";"2024";"31";"2024-05-26"
"Konradsen";"Out in the Backyard";"4OzbUCcjEfAvxO6ezasTyO";"221";"2024";"23";"2024-05-26"
"Siv Jakobsen";"Lay All Your Love On Me";"6uYOiwU46S0qEblH2piUL3";"276";"2024";"26";"2024-05-26"
"Pol Batlle";"No Ho Has Entès";"1WllmxRTFxdLwgfF5xyxdT";"213";"2024";"29";"2024-05-26"
"Fabiana Palladino";"Stay With Me Through The Night";"0tBQ1zZ7nfPiBwOEpHTxqd";"217";"2024";"40";"2024-05-26"
"Lau Noah";"If a tree falls in love with a river";"3pHWBV72HoTUzwj0bFB7Tu";"199";"2024";"29";"2024-05-26"
"Molly Lewis";"Crushed Velvet";"0ot8VA36fmxBlIqa5xbnf7";"195";"2024";"47";"2024-05-26"
"Mk.gee";"Are You Looking Up";"1sWYVBg7ix2WAq43J9nY7E";"166";"2024";"65";"2024-05-26"
"Jeff Alexander";"Come Wander with Me";"5b2Zf1kc0M7KNfCnBV4vWO";"175";"2005";"52";"2024-05-26"
"Flyte";"Perfect Dark - Live at RAK";"3TqhwOVi57cSV2K0Pr6O1m";"214";"2024";"35";"2024-05-26"
"The Army, The Navy";"Play The Music";"4a8V50IgNsq3zSSJ0ugxzq";"242";"2024";"38";"2024-05-26"
"Daudi Matsiko";"Fool Me As Many Times As You Like";"0UDvJftIOxO9Ein9rE1u3G";"313";"2024";"28";"2024-05-26"
"Madison Cunningham";"All I’ve Ever Known";"3asrVoL2yOlr6LSAamJ94L";"307";"2022";"35";"2024-05-26"
"Kimbra";"The Robin";"4x0Hc6FybreRCiSiIkq9CD";"321";"2023";"24";"2024-05-26"
"Jacob Collier";"Little Blue - Mahogany Sessions";"4dkxQNsQUboUQ2I4wXkE0d";"453";"2023";"45";"2024-05-26"
"Oisin Leech";"Colour Of The Rain";"4Vr94obT4f9F5PsaEosgyY";"239";"2024";"30";"2024-05-26"
