"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Emma Harner";"When You Mean It";"2wByC7FpnSEzY4zbRYLi9D";"135";"2024";"37";"2024-09-22"
"Isolde Lasoen";"Lune noire";"51ZikD134KR16SW7R6WvTs";"233";"2023";"28";"2024-09-22"
"Tigran Hamasyan";"The Curse - Blood Of An Innocent Is Spilled";"1iQmmpVxKmKxtrYW1YQK4y";"410";"2024";"38";"2024-09-22"
"Emilíana Torrini";"Miss Flower";"4GSFbkN9QwQwwUIV6izEt6";"243";"2024";"38";"2024-09-22"
"Dea Matrona";"Every Night I Want You";"3Rql85trNhqWRqVdZdEBm4";"171";"2024";"26";"2024-09-22"
"Grace Bowers & The Hodge Podge";"Tell Me Why U Do That";"4Qnu29eLWDP2KZCiGHdNdh";"278";"2024";"37";"2024-09-22"
"Lauren Mayberry";"Change Shapes";"0SQC9AaDUmNQKmV9Trq0j4";"205";"2024";"33";"2024-09-22"
"Dog Race";"It's The Squeeze";"2JiK2jM7F9qbd3HGp7gZBl";"250";"2024";"31";"2024-09-22"
"Tele Novella";"Eggs in one Basket";"2aBSFHjDOewbd4mdqhwTAb";"217";"2023";"42";"2024-09-22"
"Opus Kink";"I Wanna Live With You";"3myyZdktVep8TRBRbJvKLW";"175";"2024";"37";"2024-09-22"
"Puddles Pity Party";"What Was I Made For?";"3JgzdcJVUuqkVQaycuE8h6";"230";"2024";"29";"2024-09-22"
"Gia Ford";"Poolside";"081dnq5DgjHj1sr4bqIBfe";"189";"2024";"29";"2024-09-22"
"Frankie Archer";"Oxford City";"5YqgJluBbobJEyqW5JTQpa";"211";"2023";"23";"2024-09-22"
"Jeremy Dutcher";"Pomawsuwinuwok Wonakiyawolotuwok";"7vjh9C0Dd2E9gm58AzWBy0";"222";"2023";"30";"2024-09-22"
"My Brightest Diamond";"Have You Ever Seen An Angel";"7JHZebGtDStHWYdZ7XFMe9";"183";"2024";"19";"2024-09-22"
"Bess Atwell";"Release Myself";"2KXFFgeqNkSWnOKy0eMAuB";"218";"2024";"35";"2024-09-22"
"Joan As Police Woman";"Back Again";"5v1KjLcpxjntj3bHyYJ40g";"234";"2024";"34";"2024-09-22"
"Fat Dog";"I am the King";"5BD2sRwZBmAcS649vipoAq";"184";"2024";"32";"2024-09-22"
"Trevor Horn";"Swimming Pools (Drank)";"5mg17ZacFByAoTfWl0ITAI";"236";"2023";"30";"2024-09-22"
"Leyla McCalla";"Sun Without the Heat";"1gBnngscy9xHD4tE66bfDd";"166";"2024";"28";"2024-09-22"
"Jordan Rakei";"Flowers";"6LIhWRunPPwMW5CgJ9pQOF";"249";"2024";"48";"2024-09-22"
"Original Cast of Stereophonic";"Seven Roads";"68tcSc7WfUEIOD1UcRGCga";"239";"2024";"34";"2024-09-22"
"Susanne Sundfør";"leikara ljóð";"7kTj3N7FytFx0ixXKANJQA";"407";"2023";"37";"2024-09-22"
"Allison Russell";"Springtime";"2VVL0yN3sb3WLpsSiz2pSX";"251";"2023";"34";"2024-09-22"
"Susan Christie";"Rainy Day";"5EcJVGwKFhAu7bER8xsPFS";"190";"1969";"32";"2024-09-22"
"Louis Cole";"Things Will Fall Apart";"3dwNdM30pYbN429Kw3J5va";"275";"2024";"41";"2024-09-22"
"Maxim Ludwig";"Mercury Avenue";"7i6a9rNJx2lJ6YgBq4VaZ4";"291";"2024";"28";"2024-09-22"
"Scott Bradlee's Postmodern Jukebox";"There Is a Light That Never Goes Out";"5u88RbzsIgnV3sOg8d0mMs";"251";"2024";"32";"2024-09-22"
"Tindersticks";"New World - Edit";"3WlZC3R1sRWTvg2blrTxxr";"228";"2024";"41";"2024-09-22"
"Chelsea Wolfe";"Everything Turns Blue";"4wOY40S8XmbEfjQiwjk523";"266";"2024";"39";"2024-09-22"
