"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Tom Skinner";"The Journey";"7hs2pIMXI92Z09CqUmNA8t";"302";"2022";"30";"2023-07-16"
"Affinity";"I Am And So Are You";"1IOTcWws47y9kVw44fhWUf";"211";"2021";"31";"2023-07-16"
"Gentle Giant";"Black Cat";"2Mcc9XY31sb8rbLZ7n2ON4";"231";"1971";"34";"2023-07-16"
"Don Ellis";"Turkish Bath";"6QOBAqYBpKTc02biPxGEDy";"629";"1967";"29";"2023-07-16"
"Pekka Pohjola";"Sekoilu seestyy - The Madness Subsides";"6GiFcHzZtT7NB7ZPk4ZmEd";"257";"1974";"31";"2023-07-16"
"The Three Suns";"Danny's Inferno";"2uuGuP1KC38KqDt5POEWnZ";"169";"1962";"27";"2023-07-16"
"Pierre Cavalli";"Tempo In Tempo";"2FjjNRcerJqPygj2SW6Bmi";"169";"2014";"38";"2023-07-16"
"Chet Baker";"A Taste Of Honey";"71ZO6HHSJ5jUuqoAxJIGA5";"180";"1965";"36";"2023-07-16"
"Robert Fripp";"North Star - First Edition: Original 1979 Release";"6L7LEOYU76OHE4b3sZsd63";"186";"1979";"32";"2023-07-16"
"Slapp Happy";"Casablanca Moon";"4PNhRqC5OfxkfC4dHRqDgN";"170";"1993";"32";"2023-07-16"
"Osanna";"Tema";"3dQn4UO70WPehMqFICgET0";"74";"2009";"36";"2023-07-16"
"John Phillips";"Jazz II";"210cwSj3j7iNV6DwkuPCuG";"168";"2016";"34";"2023-07-16"
"Amon Düül II";"She Came Through the Chimney";"56oqUFZ1uhwGDVPYHInN2A";"177";NA;"35";"2023-07-16"
"Pekka Streng";"Puutarhassa";"3WjSknueyPj2el9g8CAhGr";"206";"2003";"39";"2023-07-16"
"Harmonia & Eno '76";"Les Demoiselles";"0Jn822HyQRhUWmuMYjS3K6";"241";"2009";"31";"2023-07-16"
"Aphrodite's Child";"The Beast";"1J3QWBDSMi7udrNrCgP1bC";"146";"1971";"37";"2023-07-16"
"Grian Chatten";"Fairlies";"0TIINfbyseNeCwgSc3swzs";"250";"2023";"43";"2023-07-16"
"THUS LOVE";"Repetitioner";"2h5zji6AoEPjSdHYgsIbJy";"332";"2022";"41";"2023-07-16"
"Alan Price";"Sell Sell";"2pLa3GBQyu6Tg5TLdqsc6C";"244";"2005";"34";"2023-07-16"
"Jarvis Cocker";"You Can't Wake Up If You Don't Fall Asleep";"07GG2OeN5qcoeLj89q0jnu";"211";"2023";"44";"2023-07-16"
"The The";"This Is The Night";"3gVDRvW6xR3aKdPWkUOVdo";"230";"1993";"46";"2023-07-16"
"Dick Hyman";"Topless Dancers Of Corfu";"0Wh5Dveo8blNIfgio1Wfe7";"186";"1969";"29";"2023-07-16"
"The Mothers Of Invention";"Oh No";"6HJAS8XZO0ctUcN2KsbLRa";"106";"1970";"38";"2023-07-16"
"Nine Horses";"Wonderful World";"1WcEv4Fpaxdnu87oXrvuEw";"363";"2012";"34";"2023-07-16"
"Adam & The Ants";"Scorpios";"0rR2svRYILF95DGM0dCVwR";"167";"2004";"32";"2023-07-16"
"Kraan";"Far West";"4QCjkb9grBUJpoD7jhEDjo";"154";"1978";"34";"2023-07-16"
"Fanny";"Hey Bulldog";"3KK3yIddOIFXIvTT1el5uK";"235";"2002";"34";"2023-07-16"
"Caravan";"If I Could Do It All Over Again, I'd Do It All Over You";"1wFCtdFvuqQCA0Ei4NVX4t";"188";"1970";"30";"2023-07-16"
"Emmanuel Brun";"La voix psychédélique";"6OGybl75EBNMNalQ8cg5RD";"110";"2008";"45";"2023-07-16"
"Emitt Rhodes";"Mother Earth";"6qfbWHiWaBB6eIudKJPPen";"150";"2008";"20";"2023-07-16"
