"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"David Bowie";"Sound and Vision";"1uqQLKO4B1vPoMBMgfPW6j";"110";"2013";"49";"2023-09-10"
"Jacqueline Taieb";"7 AM";"1JdMuSvcCSn5odFvEfCoql";"124";"2002";"43";"2023-09-10"
"The Budos Band";"Frontier's Edge";"4iHpuddvYahXvbOSnoPPaG";"156";"2023";"40";"2023-09-10"
"Sun Ra";"Back in Your Own Back Yard";"5PnKZYaImcxIsvS8moS2ka";"124";"2016";"39";"2023-09-10"
"Jean-Jacques Perrey";"In The Heart Of A Rose";"4ca1dIIRjahFcal6Z77fn7";"163";"1968";"29";"2023-09-10"
"The Residents";"Amber";"3RFATi0CFMnY8Vau6KS8ks";"66";"1979";"35";"2023-09-10"
"Martin Rev";"Secret Teardrops";"03Mh2iAAdKKREZTe8rWbbT";"163";"1995";"43";"2023-09-10"
"Buffy Sainte-Marie";"Better To Find Out For Yourself";"0A5w87aBPY0xHJ7EuIktf1";"133";"1969";"31";"2023-09-10"
"cowboyy";"Gmaps";"7mxZl03DP5xXYz1oiMXM41";"137";"2022";"30";"2023-09-10"
"The Shangri-Las";"Past, Present & Future";"6ozkTvpSzrRK9vJCMksza3";"160";"1996";"33";"2023-09-10"
"Black Sabbath";"Orchid";"4VMOFyIl8weDI5BXyti7sn";"91";"1971";"64";"2023-09-10"
"Geoff & Maria Muldaur";"Brazil";"1HDLnDrZSxZ2Rb1yq9nZKK";"212";"1970";"43";"2023-09-10"
"R. Stevie Moore";"I'm Only Sleeping";"0wEHXrtU3KR5jOZXoBJWWs";"185";"1988";"38";"2023-09-10"
"Chuck Senrick";"Dreamin'";"3QFhusiK2nQW9DnkGj2HVY";"135";"1976";"38";"2023-09-10"
"Fievel Is Glauque";"Save the Phenomenon";"3lS2AH040UjySAl8wI9Mrw";"107";"2022";"37";"2023-09-10"
"Kevin Ayers";"Don't Let It Get You Down - 2003 Remaster";"4DOXwoSDsmkRCsktYItIME";"244";"1973";"32";"2023-09-10"
"Project Gemini";"After The Dawn";"3vCysrERy2klQnbsq1heOT";"223";"2023";"32";"2023-09-10"
"Colin Blunstone";"She Loves the Way They Love Her";"7MEGee2yq9oWZKpxjYlSyW";"170";"1971";"31";"2023-09-10"
"Elvis Costello";"My Funny Valentine";"0k5RclJGfmZqOy3cRggtom";"93";"1979";"39";"2023-09-10"
"Nancy Whiskey";"Freight Train";"1Vfic0G7SHcHLrQPVxsIuz";"180";"1957";"28";"2023-09-10"
"Brad Mehldau";"Life On Mars?";"0xR3xi1YHLZHkXwNQ9hXmp";"250";"2023";"30";"2023-09-10"
"Kate Bush";"Army Dreamers - 2018 Remaster";"135ArLV1euyyeegU9D8HVR";"179";"1980";"53";"2023-09-10"
"Brigitte Calls Me Baby";"Impressively Average";"1GiP68Ev6fXj6xhRehM4WU";"199";"2022";"26";"2023-09-10"
"Linda Perhacs";"Parallelograms";"7vfih9HPftqMG5BK3ghsoz";"273";"1970";"33";"2023-09-10"
"The Monkees";"Porpoise Song";"02tiurLpJcKS0aFVsyvKz3";"160";"1968";"31";"2023-09-10"
"Exuma";"You Don't Know What's Going On";"1a75L8LvFXhHewsANrF3K5";"212";"1970";"37";"2023-09-10"
"Wings";"Reception - Remastered 1993";"1rHvKz5JPpCf9IJDHsyX8P";"68";"1979";"63";"2023-09-10"
"Los Bitchos";"Lindsay Goes to Mykonos";"4YUn9dCxEKeCcA6nhtykR4";"172";"2022";"33";"2023-09-10"
"Brian Wilson";"Our Prayer / Gee";"0runRgtyLJR3qDnAwT1ET0";"129";"2004";"36";"2023-09-10"
"Screamin' Jay Hawkins";"Portrait of a Man";"4RKjCTIUIKNW2MLdjEIKJo";"253";"1987";"36";"2023-09-10"
