"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Labi Siffre";"Bless the Telephone";"0620OecAlwJQxWieRW4L9s";"101";"1971";"63";"2023-11-05"
"Via Mardot";"Pining";"7DopCuygdWAxNa0aRwNYDL";"123";"2023";"31";"2023-11-05"
"Big Blood";"1000 Times";"0MptIBgkeSG7fwpI8IRM8S";"268";"2023";"34";"2023-11-05"
"Melin Melyn";"Hold The Line";"7Mgtuo43NuwslpyUY6pD0J";"216";"2022";"30";"2023-11-05"
"Picture Parlour";"Norwegian Wood";"50Wusuhe7GBuOr5xGZlyGe";"214";"2023";"42";"2023-11-05"
"Viagra Boys";"Punk Rock Loser";"2pqoh1jUQoppztoQRRGyKK";"238";"2022";"58";"2023-11-05"
"Tchotchke";"Dizzy";"6ms27uDg2sVdHG6jKY5uW2";"179";"2022";"36";"2023-11-05"
"Saint Saviour";"Better Than";"0sxpEr4OklSx7m69w1UdeD";"177";"2023";"32";"2023-11-05"
"Warmduscher";"Love Strong";"04EBJzuK2KcDe313CMu7xP";"210";"2023";"28";"2023-11-05"
"HotWax";"Treasure";"7vcgqskkBA3n2aykT0AjUJ";"191";"2023";"36";"2023-11-05"
"Public Service Broadcasting";"Broadcasting House - Live";"2oDTyTTNtwymptrUPOtGJG";"399";"2023";"34";"2023-11-05"
"Blonde Redhead";"Snowman";"3xKvXle8QcTpWz2al4WzaB";"315";"2023";"41";"2023-11-05"
"Anna B Savage";"The Ghost";"34AAkM6PBSpB9gSDoFADQF";"303";"2023";"30";"2023-11-05"
"Baxter Dury";"Celebrate Me";"44AUSRpvoPRovhVR8kXOgd";"197";"2023";"47";"2023-11-05"
"Geese";"3D Country";"6TLl4M9cQVHkPI75LTqABu";"314";"2023";"49";"2023-11-05"
"John Grant";"GMF";"2Fdz8XTvSYnGnYDEjmk9MH";"314";"2013";"21";"2023-11-05"
"Belle and Sebastian";"A Summer Wasting";"4WK2bWmhK9yqoRBAPSuIUJ";"127";"1998";"51";"2023-11-05"
"Share";"Love My Way";"7zY4j0cImpxJqvJ1INIEUt";"223";"2023";"35";"2023-11-05"
"Dusty Springfield";"Ain't No Sun Since You've Been Gone";"3ET4J0rPJ4uzgf0cQzGGsN";"166";"1968";"32";"2023-11-05"
"The Jeffrey Lee Pierce Sessions Project";"On the Other Side";"0HQ2ppSIbabSsJVRTzaiGK";"253";"2023";"25";"2023-11-05"
"The Bygones";"Stars Turn Cold";"4pFO1wf8UP6iVkTqc4FkEV";"186";"2023";"32";"2023-11-05"
"Beverly Glenn-Copeland";"Harbour (Song For Elizabeth)";"5vVzwMUI5bNJ1LMQxtuFx7";"279";"2023";"26";"2023-11-05"
"Heart";"Dreamboat Annie";"7IyuwRPPNq6gYI1vzqKsrU";"122";"1975";"59";"2023-11-05"
"Spinvis";"Tingeltangelhersenpan";"3kETXi6z7MyDvKF2Ypag6L";"272";"2023";"36";"2023-11-05"
"Blake Mills";"Skeleton Is Walking";"1VzNKvSCMt8kVxDbAz2zRO";"358";"2023";"36";"2023-11-05"
"Jacob Collier";"WELLLL";"4rPv8eZH6ABfkrtxxHHtV4";"158";"2023";"51";"2023-11-05"
"Kenji Endo";"Curry Rice";"5srlPF56uQYQAQF8Q43VjR";"159";"1999";"42";"2023-11-05"
"Blondshell";"Salad";"04wGd81Dnp8M8gPqCQXs07";"274";"2023";"43";"2023-11-05"
"Creep Show";"Yawning Abyss";"4v0IDYT9OQ2GLyiZMQue2J";"226";"2023";"24";"2023-11-05"
"Lisa O'Neill";"Old Note";"7qK4lwgerNrajklBJPXlJI";"368";"2023";"39";"2023-11-05"
