"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Hohnen Ford";"Honest Mistake";"7lF8vFU9L2xzHJkv3zvtnm";"227";"2024";"31";"2024-11-10"
"BADBADNOTGOOD";"This Must Be the Place (Naive Melody)";"5rO40jEetaPNDTzHSvGzVz";"271";"2024";"40";"2024-11-10"
"Vampire Weekend";"Capricorn";"4oAGV7IADPWfkpk6aGQqZt";"250";"2024";"55";"2024-11-10"
"Vulfmon";"Got To Be Mine";"6tAHoWuZoM6QprTo61SBne";"188";"2024";"54";"2024-11-10"
"Brian Eno";"All I Remember";"1AkWtJQjphlvoZ3DvLQCrZ";"232";"2024";"31";"2024-11-10"
"WILLOW";"home (feat. jon batiste)";"0GypaBmhyN8666FikwVlgt";"183";"2024";"44";"2024-11-10"
"Jessica Pratt";"Life Is";"7I20yqgoGEEfXBK8YNICJ8";"188";"2024";"47";"2024-11-10"
"Lionlimb";"Dream of You";"3zTwW6LqsYNdheu9bOIISV";"238";"2024";"31";"2024-11-10"
"English Teacher";"The World’s Biggest Paving Slab";"0QZwfrjDdVGKjKfIzopBfL";"186";"2024";"51";"2024-11-10"
"James McCartney";"Primrose Hill";"77BFycCruMC9Kb41QV8Rs6";"192";"2024";"19";"2024-11-10"
"The Bygones";"How Do You Waste a Day?";"5BAioF9fgs403r03G1V3RP";"178";"2024";"26";"2024-11-10"
"Warpaint";"Common Blue";"4ywML3rFjamKeKg1GE689X";"231";"2024";"45";"2024-11-10"
"Brittany Howard";"What Now";"1WAjkljaKkFILaxlsGlSfh";"227";"2024";"40";"2024-11-10"
"Blondshell";"Thank You for Sending Me an Angel";"7j5diHi0CsErlpnfdw8GPg";"188";"2024";"33";"2024-11-10"
"Loren Kramar";"Hollywood Blvd";"64RUh4o1ODrVAI9h9kyGIE";"295";"2024";"32";"2024-11-10"
"The National";"Heaven";"3R0iA3AlPcpvfwYIoUTVRx";"257";"2024";"39";"2024-11-10"
"Pomplamoose";"Angélique";"0VGdiCJnRzTfnXA1N1E61A";"222";"2024";"29";"2024-11-10"
"Nilüfer Yanya";"Method Actor";"0sggL2BsarV5q8acXljmWI";"232";"2024";"50";"2024-11-10"
"Norah Jones";"All This Time";"67Y1yh3VmubMkvYmO7X5h0";"196";"2024";"40";"2024-11-10"
"Folk Bitch Trio";"Analogue";"6G03vyXV3PPZCHE2hNmcTi";"226";"2023";"44";"2024-11-10"
"Bat For Lashes";"The Dream of Delphi";"5NlTw8wCGET2YD1aajWglq";"283";"2024";"28";"2024-11-10"
"Julia Holter";"Something in the Room She Moves";"4q1wNhAe6axDOjReaCmOA3";"378";"2024";"36";"2024-11-10"
"ANOHNI";"Breaking";"0M8xf6txl5E1krF7yO1XIO";"204";"2024";"32";"2024-11-10"
"Thom Yorke";"Knife Edge";"53rYNxof2dWXRnH0bqKiQ2";"200";"2024";"43";"2024-11-10"
"Baby Rose";"Slow Burn";"41KwQOHxfWnYG3eltkw6P0";"237";"2024";"42";"2024-11-10"
"Jacob Alon";"Fairy in a Bottle";"21Juy1OozXucoOIhpYElsA";"316";"2024";"36";"2024-11-10"
"Paramore";"Burning Down the House";"3pRCHHfwYNVCOjWSrkGNw1";"218";"2024";"58";"2024-11-10"
"Infinity Song";"Sinking Boat";"1jvOjD7K9707WeA99qWyNC";"177";"2024";"56";"2024-11-10"
"Mdou Moctar";"Imouhar";"11uAWA4bnmxzVBqtwZEuZl";"307";"2024";"33";"2024-11-10"
"Lady Blackbird";"Let Not (Your Heart Be Troubled)";"5yXPNJX2VDegRliiqdLz4I";"266";"2024";"37";"2024-11-10"
