"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"R.E.M.";"Oh My Heart";"6v9uVK1AjObTnejPSxgNMP";"201";"2011";"57";"2024-01-28"
"The Lemon Twigs";"Corner Of My Eye";"2OkyvqHJxPkBLZIrtSSJQo";"199";"2023";"51";"2024-01-28"
"The Smile";"Bending Hectic";"2tA4gq8tO9TPPPpbgK5n4w";"484";"2023";"54";"2024-01-28"
"Rufus Wainwright";"April Fools";"7CVhvuNqWHjYcOl5cCcv1n";"301";"1998";"41";"2024-01-28"
"Cass McCombs";"Absentee";"23fEZLdzHoZlNZZu4E1pSp";"169";"2019";"69";"2024-01-28"
"Richard Hawley";"Not the Only Road";"0egfLGGxtB6iNavs6ng5XM";"215";"2023";"43";"2024-01-28"
"Nina Simone";"Music For Lovers - Live";"3RDwn6BPbPpkVVE5Vp0htB";"330";"2023";"31";"2024-01-28"
"Alessi Brothers";"Seabird";"1iUpSRmgnbTRqU0Pb217qI";"189";"1976";"57";"2024-01-28"
"Tim Buckley";"Martha - Remastered";"4kbMNRyFzBoqPxLxX1Q2Jq";"200";"1973";"53";"2024-01-28"
"Blur";"The Ballad";"7l6hvTRyX52kg6q4zNIfQA";"217";"2023";"53";"2024-01-28"
"George Harrison";"Isn't It a Pity (2014 Remaster)";"0vTvkf24wkCG3DTKgoNnih";"431";"1970";"55";"2024-01-28"
"Weyes Blood";"When You're Smiling - From ""A Small Light: Episode 5""";"3LpVQJgtAxYpp3c5dJkOt6";"149";"2023";"41";"2024-01-28"
"Wilco";"Evicted";"2VxHh66fLYCJgKVOs56AY5";"210";"2023";"54";"2024-01-28"
"Ben Folds";"Kristine From The 7th Grade";"6oFY67imnu9QaR1bcnlFOc";"323";"2023";"38";"2024-01-28"
"Bob Dylan";"The Man in Me - Live at Nippon Budokan Hall, Tokyo, Japan - March 1, 1978";"6JsuOeVGdoyGHmn32Uq7h9";"232";"2023";"34";"2024-01-28"
"Jarvis Cocker";"You Can't Wake Up If You Don't Fall Asleep";"1XR11Jgj8ztVBeoxdmwRAI";"211";"2023";"37";"2024-01-28"
"Aimee Mann";"Wise Up";"0SpdCj83hKPcwTqNzUkWXr";"222";"2000";"43";"2024-01-28"
"Cat Power";"She Belongs To Me - Live at the Royal Albert Hall";"7K71Xk1BbXK111wqKNV71g";"289";"2023";"47";"2024-01-28"
"Pretenders";"I Think About You Daily";"1sepuHn7ahd0kI6yAn9IYo";"385";"2023";"26";"2024-01-28"
"Margaret Glaspy";"Get Back";"7cbrrbsKm8W5HA8HmoeVBN";"226";"2023";"32";"2024-01-28"
"Suki Waterhouse";"Every Day's A Lesson In Humility";"61McqEmrnduKFDgd0lY6xf";"216";"2023";"56";"2024-01-28"
"Midlake";"Roadrunner Blues";"3Ex0NlxqcuGZz7TKDyTKxY";"253";"2023";"34";"2024-01-28"
"The Sundays";"Here's Where the Story Ends";"5gSHlT2SI0dtjeHrjj96A1";"230";"1990";"60";"2024-01-28"
"Paul Simon";"Still Crazy After All These Years";"3gIBSlXYIN1mru35l4LWPB";"207";"1975";"59";"2024-01-28"
"Brittany Howard";"What Now";"1g8becOwXRFEkYukY94L99";"227";"2023";"55";"2024-01-28"
"Talking Heads";"City of Dreams";"6EdpnYAckNS4IxMCqAA7qL";"309";"1986";"31";"2024-01-28"
"Tapir!";"Gymnopédie";"4BSWSxDnXwDwWX0mOpBa4h";"230";"2023";"32";"2024-01-28"
"Lucy Rose";"Could You Help Me";"5BEFUHkJkE96hq89ESAfgF";"167";"2023";"51";"2024-01-28"
"Adrianne Lenker";"Ruined";"2NUIlCRqz6OxgGOipYqBCw";"273";"2023";"62";"2024-01-28"
"Mavis Staples";"I Like The Things About Me";"65jkEyW5x2XNbKOGI7g7RI";"237";"2013";"41";"2024-01-28"
