"artist_name";"song_name";"song_id";"duration_s";"release_year";"popularity";"date_added"
"Labi Siffre";"Crying, Laughing, Loving, Lying";"28UWzdVYFe36w0GwDJlIwJ";"183";"1972";"51";"2024-06-23"
"Joni Mitchell";"Both Sides Now";"3NW1YMA8kfNVTzGJCGBS8m";"274";"1969";"53";"2024-06-23"
"The Chieftains";"The Magdalene Laundries";"2tUzZiFwDCpIx6Hfa8ofoW";"298";"1999";"31";"2024-06-23"
"The Last Dinner Party";"My Lady of Mercy";"2M1zHytH8Ch9HmhpScKyvV";"175";"2023";"54";"2024-06-23"
"The Blue Nile";"The Downtown Lights";"38TMvbDxQCQJm9nzHqmpiK";"391";"1989";"46";"2024-06-23"
"James McCartney";"Primrose Hill";"6VJRRJ710UFTUUNYuPSzah";"192";"2024";"37";"2024-06-23"
"Simon & Garfunkel";"April Come She Will";"0djZ2ndRfAL69WYNra5jRC";"109";"1966";"61";"2024-06-23"
"Lisa O'Neill";"Old Note";"7qK4lwgerNrajklBJPXlJI";"368";"2023";"35";"2024-06-23"
"Katherine Priddy";"A Boat on the River";"19FkZQf9KlQlwzQbX2O07G";"227";"2024";"23";"2024-06-23"
"Florence + The Machine";"White Cliffs Of Dover";"6BkCP0wA12dDSCgFGX5rLJ";"181";"2024";"29";"2024-06-23"
"Nick Cave & The Bad Seeds";"Wild God";"6d2JJCLcg02uteyuvFVmCq";"319";"2024";"47";"2024-06-23"
"Art Garfunkel";"Waters of March";"0bgtlqjzKW4KXufOlzGsKT";"219";NA;"43";"2024-06-23"
"The Decemberists";"Burial Ground";"1Xzyo31tkXB53PaRnPziLR";"245";"2024";"41";"2024-06-23"
"Johnny Flynn";"Uncanny Valley";"1g5hz3BAd4IRNyuk5sTXSp";"190";"2023";"33";"2024-06-23"
"The Roches";"Hammond Song";"3cPtZw0oqMEkKlGSF0SLkc";"345";"1979";"39";"2024-06-23"
"MGMT";"Nothing To Declare";"6IEfGqZt5Vzc9wpw70wV9U";"213";"2024";"6";"2024-06-23"
"David Byrne";"Glass, Concrete & Stone";"5JJRxktdvtSjN3AeITJNCs";"254";"2004";"45";"2024-06-23"
"The Staves";"All Now";"63Q9xNRdq42QZN4f2NgNv8";"270";"2024";"20";"2024-06-23"
"Nick Cave";"La Vie En Rose (The New Look: Season 1 (Apple TV+ Original Series Soundtrack))";"5aYUBGkNlFZkbP8u61Zcco";"235";"2024";"33";"2024-06-23"
"Kate Rusby";"Underneath the Stars";"6LEQot2HTKmq3voBK38JVV";"204";"2003";"22";"2024-06-23"
"The New Pornographers";"Firework in the Falling Snow - Acoustic Version";"3x1Oa8gNgiVvvAEXQb7kSl";"174";"2023";"23";"2024-06-23"
"King Creosote";"Ides";"6rFwweh36fKLVMWBiJXYPn";"245";"2023";"22";"2024-06-23"
"Mike Lindsay";"Saturday Sun";"3I9yoH6i6dYCTXqhiyv4Uw";"316";"2023";"15";"2024-06-23"
"St. Vincent";"Broken Man";"1kgLXgHrXecZyRCDROfAPb";"202";"2024";"53";"2024-06-23"
"Tele Novella";"Eggs in one Basket";"2aBSFHjDOewbd4mdqhwTAb";"217";"2023";"41";"2024-06-23"
"The Leisure Society";"Brave Are the Waves";"6kKeHrBbkc3atBtbVHrIVq";"141";"2023";"33";"2024-06-23"
"John Grant";"Tc & Honeybear";"4wNFvq4A8QzqZfIKOzAqD2";"306";"2010";"22";"2024-06-23"
"The Breath";"Land of My Other";"5eQc7tNv6g4WyRFGc9DBKZ";"214";"2023";"28";"2024-06-23"
"Trevor Horn";"Swimming Pools (Drank)";"5mg17ZacFByAoTfWl0ITAI";"236";"2023";"29";"2024-06-23"
"Vashti Bunyan";"Train Song";"4vjwJYofHEFn5WfloEbtrr";"135";"2004";"26";"2024-06-23"
